Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2024-02-08,11.22,11.34,11.0,11.05,7844600,10.92,10.92,11.36,-0.13,0.02,51.91,269454000.0,0.44,64.3
2024-02-09,11.55,11.6,11.25,11.4,11957000,11.0,10.91,11.42,-0.08,0.06,56.59,281411000.0,0.43,82.07
2024-02-12,12.01,12.13,11.65,11.73,22042300,11.07,10.96,11.48,0.01,0.11,62.12,303453300.0,0.44,91.18
2024-02-13,11.84,11.94,11.43,11.61,36725400,11.15,11.01,11.54,0.06,0.13,59.12,266727900.0,0.45,90.03
2024-02-14,13.38,13.9,12.77,13.65,76339000,11.42,11.14,11.63,0.22,0.23,72.21,343066900.0,0.57,86.45
2024-02-15,13.42,13.55,13.04,13.4,24372900,11.67,11.28,11.7,0.35,0.29,72.46,367439800.0,0.56,84.2
2024-02-16,14.0,14.35,13.32,13.38,34885500,11.98,11.44,11.77,0.49,0.34,75.81,402325300.0,0.6,87.09
2024-02-20,14.09,14.23,13.68,14.0,16920700,12.33,11.6,11.83,0.6,0.37,76.29,419246000.0,0.59,89.91
2024-02-21,13.59,13.89,13.39,13.76,14328000,12.61,11.73,11.87,0.64,0.33,68.16,404918000.0,0.6,87.99
2024-02-22,13.97,14.09,13.6,13.71,10961900,12.91,11.89,11.92,0.7,0.31,70.72,415879900.0,0.59,87.73
2024-02-23,14.48,14.5,14.01,14.04,15963200,13.23,12.08,11.97,0.77,0.31,73.76,431843100.0,0.59,89.86
2024-02-26,15.59,15.61,14.68,14.71,28000800,13.64,12.32,12.05,0.91,0.36,78.9,459843900.0,0.63,96.36
2024-02-27,16.25,16.29,15.55,15.89,24830300,14.06,12.57,12.14,1.07,0.41,81.25,484674200.0,0.64,99.47
2024-02-28,16.13,16.53,15.9,16.06,25143400,14.49,12.82,12.22,1.16,0.4,79.51,459530800.0,0.64,97.22
2024-02-29,16.31,16.51,15.66,16.17,21226300,14.78,13.1,12.31,1.24,0.38,80.2,480757100.0,0.65,95.96
2024-03-01,16.58,16.6,16.12,16.3,13111700,15.1,13.38,12.4,1.31,0.36,81.21,493868800.0,0.64,96.07
2024-03-04,16.63,17.22,16.54,17.07,17405200,15.36,13.67,12.47,1.35,0.32,81.4,511274000.0,0.64,95.09
2024-03-05,15.93,16.33,15.66,16.3,17683600,15.55,13.94,12.54,1.31,0.23,70.65,493590400.0,0.67,86.82
2024-03-06,16.4,16.59,15.77,16.1,13102400,15.83,14.22,12.61,1.3,0.18,73.21,506692800.0,0.68,80.41
2024-03-07,16.36,16.62,16.13,16.62,9854700,16.07,14.49,12.68,1.28,0.12,72.63,496838100.0,0.66,76.46
2024-03-08,17.0,17.62,16.57,16.58,19955300,16.32,14.78,12.76,1.3,0.11,75.92,516793400.0,0.71,81.22
2024-03-11,16.86,17.48,16.76,16.99,14947000,16.44,15.04,12.83,1.29,0.08,73.83,501846400.0,0.71,81.77
2024-03-12,16.39,16.9,16.19,16.88,13396500,16.46,15.26,12.89,1.22,0.01,67.15,488449900.0,0.71,78.94
2024-03-13,17.16,17.36,16.23,16.31,15815100,16.56,15.53,12.98,1.22,0.01,71.67,504265000.0,0.74,79.58
2024-03-14,18.05,19.23,17.75,19.12,48665200,16.74,15.76,13.1,1.28,0.05,75.81,552930200.0,0.83,76.92
