Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-10-12,132.33,134.48,131.23,132.17,55528600,128.41,130.25,134.45,-1.48,0.54,52.17,477157100.0,3.54,82.92
2023-10-13,129.79,133.31,128.95,132.98,45786600,128.68,129.72,134.47,-1.37,0.52,47.15,431370500.0,3.6,79.26
2023-10-16,132.55,133.07,130.43,130.69,42832900,128.99,129.35,134.33,-1.04,0.68,52.5,474203400.0,3.57,74.45
2023-10-17,131.47,132.58,128.71,130.39,49344600,129.66,129.04,134.11,-0.86,0.69,50.35,424858800.0,3.6,71.94
2023-10-18,128.13,130.67,127.51,129.9,42699500,129.78,128.69,133.88,-0.98,0.46,44.31,382159300.0,3.62,65.16
2023-10-19,128.4,132.24,127.47,130.57,60961400,130.02,128.64,133.69,-1.03,0.32,44.89,443120700.0,3.7,51.2
2023-10-20,125.17,128.17,124.97,128.05,56343300,129.74,128.44,133.42,-1.32,0.02,39.61,386777400.0,3.68,29.98
2023-10-23,126.56,127.88,123.98,124.63,48260000,129.57,128.21,133.18,-1.43,-0.06,42.73,435037400.0,3.7,25.29
2023-10-24,128.56,128.8,126.34,127.74,46477400,129.48,128.34,132.94,-1.33,0.03,46.97,481514800.0,3.61,26.08
2023-10-25,121.39,126.34,120.79,126.04,74577500,128.43,128.11,132.62,-1.81,-0.36,36.52,406937300.0,3.91,24.19
2023-10-26,119.57,121.64,118.35,120.63,100419500,127.16,127.79,132.31,-2.31,-0.69,34.43,306517800.0,3.86,18.52
2023-10-27,127.74,130.02,125.52,126.2,125309300,126.95,127.82,132.18,-2.03,-0.33,48.66,431827100.0,4.33,23.39
2023-10-30,132.71,133.0,128.56,129.72,72485500,126.97,127.98,132.17,-1.39,0.25,55.05,504312600.0,4.4,51.6
2023-10-31,133.09,133.57,131.71,132.75,51589400,127.13,128.4,132.14,-0.84,0.64,55.5,555902000.0,4.22,79.54
2023-11-01,137.0,137.35,133.71,133.96,61529400,128.02,128.9,132.19,-0.08,1.12,60.0,617431400.0,4.22,92.86
2023-11-02,138.07,138.81,136.47,138.73,52236700,128.99,129.5,132.24,0.59,1.43,61.16,669668100.0,4.09,95.31
2023-11-03,138.6,139.49,137.45,138.99,44007200,130.33,130.03,132.38,1.16,1.6,61.75,713675300.0,3.94,96.78
2023-11-06,139.74,140.73,138.36,138.76,44970400,131.65,130.61,132.51,1.68,1.69,63.05,758645700.0,3.83,95.92
2023-11-07,142.71,143.37,140.5,140.55,53553500,133.06,131.27,132.7,2.3,1.86,66.27,812199200.0,3.81,96.24
2023-11-08,142.08,143.12,141.22,142.97,44521700,135.13,131.78,132.84,2.72,1.82,64.97,767677500.0,3.68,95.93
2023-11-09,140.6,142.65,139.84,142.02,36235400,137.23,132.2,132.95,2.89,1.59,61.92,731442100.0,3.62,93.71
2023-11-10,143.56,143.65,139.91,140.46,49287800,138.82,132.89,133.07,3.23,1.55,65.42,780729900.0,3.62,94.47
2023-11-13,142.59,143.23,140.67,142.08,35680600,139.8,133.39,133.16,3.38,1.36,63.36,745049300.0,3.57,94.79
2023-11-14,145.8,147.26,144.68,145.0,56674600,141.08,134.1,133.33,3.72,1.36,67.05,801723900.0,3.65,96.8
2023-11-15,143.2,147.29,142.59,147.06,63875700,141.7,134.86,133.48,3.73,1.1,61.64,737848200.0,3.73,90.66
2023-11-16,142.83,143.32,139.52,140.91,49653500,142.17,135.58,133.58,3.67,0.83,60.88,688194700.0,3.73,84.12
2023-11-17,145.18,145.23,142.54,142.66,49636700,142.83,136.58,133.72,3.77,0.74,63.9,737831400.0,3.66,81.29
2023-11-20,146.13,146.63,144.73,145.13,41951200,143.47,137.56,133.78,3.88,0.68,65.08,779782600.0,3.53,84.7
2023-11-21,143.9,144.05,141.5,143.91,71226000,143.59,138.32,133.84,3.74,0.44,60.14,708556600.0,3.61,82.19
2023-11-22,146.71,147.74,144.57,144.57,45669100,144.05,139.59,133.87,3.82,0.41,63.86,754225700.0,3.63,83.37
2023-11-24,146.74,147.2,145.32,146.7,22378400,144.66,140.95,133.91,3.84,0.34,63.9,776604100.0,3.5,82.67
2023-11-27,147.73,149.26,146.88,147.53,53762400,145.08,141.95,134.06,3.89,0.31,65.22,830366500.0,3.43,87.87
2023-11-28,147.03,147.6,145.53,146.98,42711700,145.52,142.66,134.2,3.82,0.2,63.45,787654800.0,3.34,83.58
2023-11-29,146.32,148.54,145.97,147.85,40610900,145.58,143.33,134.37,3.67,0.04,61.62,747043900.0,3.29,77.07
2023-11-30,146.09,146.93,144.33,144.76,65814000,145.87,143.78,134.59,3.5,-0.11,61.0,681229900.0,3.24,71.46
2023-12-01,147.03,147.25,145.55,146.0,39924600,146.29,144.23,134.94,3.39,-0.17,62.64,721154500.0,3.13,71.46
2023-12-04,144.84,145.35,142.81,145.25,48294200,146.25,144.54,135.26,3.1,-0.37,56.67,672860300.0,3.21,66.39
2023-12-05,146.88,148.57,143.13,143.55,46822400,146.33,144.9,135.57,3.0,-0.38,60.45,719682700.0,3.37,69.1
2023-12-06,144.52,147.85,144.28,147.58,39679000,146.39,144.99,135.94,2.69,-0.55,54.52,680003700.0,3.38,60.51
2023-12-07,146.88,147.92,145.34,146.15,52352800,146.41,145.23,136.36,2.61,-0.5,58.87,732356500.0,3.38,65.41
2023-12-08,147.42,147.84,145.4,145.48,41858000,146.47,145.57,136.79,2.56,-0.44,59.81,774214500.0,3.32,65.65
2023-12-11,145.89,146.19,143.64,145.66,50907300,146.29,145.69,137.16,2.37,-0.5,55.89,723307200.0,3.35,67.4
2023-12-12,147.48,147.5,145.3,145.52,44944300,146.34,145.93,137.52,2.33,-0.44,58.91,768251500.0,3.27,68.42
2023-12-13,148.84,149.46,146.82,148.12,52766200,146.59,146.08,138.01,2.37,-0.32,61.34,821017700.0,3.22,73.22
2023-12-14,147.42,150.54,145.52,149.93,58400800,146.72,146.29,138.42,2.26,-0.34,57.51,762616900.0,3.35,74.24
2023-12-15,149.97,150.57,147.88,148.38,110039100,147.01,146.65,138.9,2.36,-0.2,62.09,872656000.0,3.34,80.86
2023-12-18,154.07,154.85,150.05,150.56,62512800,147.94,147.09,139.42,2.73,0.14,68.05,935168800.0,3.45,81.81
