Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-10-17,1922.7,1925.8,1914.3,1914.3,103,1868.91,1876.55,1900.25,-1.77,10.8,61.08,-192576.0,18.15,94.73
2023-10-18,1955.3,1957.9,1935.0,1935.0,67,1882.59,1877.03,1900.87,3.98,13.24,67.65,-192509.0,19.37,94.89
2023-10-19,1968.4,1977.7,1945.7,1950.1,1945,1897.77,1879.5,1901.93,9.48,15.0,69.85,-190564.0,20.28,95.53
2023-10-20,1982.5,1988.6,1980.4,1981.1,557,1913.0,1882.35,1903.3,14.81,16.26,72.06,-190007.0,20.27,96.44
2023-10-23,1976.3,1978.9,1972.9,1976.2,127,1925.68,1885.34,1904.56,18.33,15.82,69.64,-190134.0,19.51,94.74
2023-10-24,1975.0,1975.0,1970.3,1970.3,10,1937.08,1889.07,1905.85,20.77,14.61,69.12,-190144.0,18.54,94.05
2023-10-25,1984.1,1985.3,1971.2,1971.2,97,1948.21,1894.69,1907.48,23.17,13.61,70.77,-190047.0,18.22,94.35
2023-10-26,1987.2,1988.2,1980.4,1988.2,521,1960.0,1901.03,1909.31,25.03,12.38,71.34,-189526.0,17.48,96.31
2023-10-27,1988.6,1988.6,1988.6,1988.6,372,1966.12,1908.05,1911.4,26.32,10.93,71.6,-189154.0,16.33,98.84
2023-10-30,1996.2,2004.1,1992.5,2004.1,157,1973.63,1916.36,1913.6,27.63,9.8,73.06,-188997.0,16.27,97.76
2023-10-31,1985.2,2001.0,1983.7,1996.5,84,1979.88,1924.39,1915.44,27.47,7.71,67.64,-189081.0,16.34,93.48
2023-11-01,1978.8,1990.5,1977.8,1990.5,41,1982.23,1932.41,1917.08,26.52,5.4,64.63,-189122.0,16.08,86.82
2023-11-02,1985.6,1990.3,1979.5,1989.1,39,1983.95,1940.86,1918.43,26.01,3.92,66.34,-189083.0,15.76,82.17
2023-11-03,1991.5,1991.5,1989.0,1989.0,12,1984.85,1948.92,1919.89,25.79,2.96,67.8,-189071.0,15.05,82.09
2023-11-06,1981.6,1981.6,1977.4,1981.6,130,1985.38,1955.53,1921.3,24.54,1.36,62.88,-189201.0,14.98,77.89
2023-11-07,1966.8,1966.8,1960.7,1966.5,20,1984.56,1960.82,1922.28,22.09,-0.87,56.31,-189221.0,15.41,63.18
2023-11-08,1951.5,1967.8,1947.7,1967.8,43,1981.3,1964.75,1922.58,18.7,-3.4,50.44,-189264.0,15.74,36.77
2023-11-09,1964.2,1964.2,1945.3,1951.7,10,1979.0,1969.5,1922.98,16.85,-4.21,54.66,-189254.0,15.97,25.0
2023-11-10,1932.6,1959.6,1932.6,1959.6,375,1973.4,1969.76,1922.87,12.68,-6.7,44.5,-189629.0,17.08,12.96
2023-11-13,1945.5,1947.2,1934.0,1939.9,191,1968.33,1970.98,1922.98,10.3,-7.26,48.69,-189438.0,16.91,16.73
2023-11-14,1961.8,1965.8,1961.8,1965.8,2,1965.99,1972.93,1923.69,9.62,-6.35,53.48,-189436.0,17.15,19.63
2023-11-15,1960.1,1962.8,1960.0,1962.8,6,1964.12,1973.17,1924.53,8.84,-5.71,52.92,-189442.0,16.12,32.45
2023-11-16,1983.9,1983.9,1964.6,1965.3,39,1963.95,1973.95,1925.86,10.03,-3.62,59.29,-189403.0,16.67,50.35
2023-11-17,1981.6,1984.0,1979.8,1982.5,32,1962.96,1973.9,1927.12,10.66,-2.39,58.46,-189435.0,15.78,60.62
2023-11-20,1977.7,1979.4,1969.7,1978.7,182,1962.57,1973.97,1928.21,10.73,-1.86,57.02,-189617.0,15.5,73.32
2023-11-21,1999.3,2005.5,1988.5,1990.7,16,1965.82,1975.19,1929.97,12.38,-0.17,62.54,-189601.0,16.38,79.9
2023-11-22,1991.4,1999.4,1991.0,1999.1,6075,1969.81,1975.55,1931.62,12.9,0.28,59.53,-195676.0,15.81,82.91
2023-11-24,2002.2,2002.2,1991.5,1991.9,63,1973.61,1976.3,1933.46,14.02,1.13,62.21,-195613.0,15.45,89.21
2023-11-27,2011.8,2011.8,2011.7,2011.7,228,1981.53,1977.46,1935.22,15.51,2.09,64.46,-195385.0,15.04,92.04
2023-11-28,2039.7,2042.7,2039.7,2040.6,174665,1990.95,1979.64,1937.39,18.72,4.24,70.05,-20720.0,16.17,97.58
2023-11-29,2047.1,2052.1,2036.0,2041.7,15290,1999.48,1982.73,1939.69,21.62,5.71,71.33,-5430.0,16.16,97.7
2023-11-30,2038.1,2047.1,2033.1,2046.1,2506,2007.28,1985.7,1941.54,22.92,5.61,67.53,-7936.0,16.01,93.79
2023-12-01,2071.0,2073.2,2036.0,2038.3,614,2015.99,1989.97,1944.58,26.3,7.2,73.16,-7322.0,17.52,94.17
2023-12-04,2024.1,2130.2,2021.0,2075.3,1071,2020.24,1991.6,1946.55,24.91,4.65,57.78,-8393.0,24.07,74.79
2023-12-05,2018.5,2037.0,2010.2,2035.1,289,2024.32,1993.44,1948.59,23.09,2.26,56.26,-8682.0,24.27,56.82
2023-12-06,2030.5,2035.8,2019.0,2019.9,417,2027.44,1996.63,1951.19,22.36,1.22,58.76,-8265.0,23.77,37.28
2023-12-07,2029.9,2034.9,2024.0,2029.2,67,2031.29,2000.55,1954.36,21.49,0.28,58.58,-8332.0,22.85,37.22
2023-12-08,1998.3,2033.1,1995.0,2031.7,449,2030.9,2002.25,1957.11,18.04,-2.54,49.89,-8781.0,23.94,31.71
2023-12-11,1978.0,2004.2,1977.2,2004.1,651,2027.52,2004.52,1959.71,13.51,-5.65,45.24,-9432.0,24.16,18.62
2023-12-12,1977.8,1994.2,1977.8,1984.2,95,2021.33,2006.14,1962.67,9.79,-7.5,45.2,-9527.0,23.6,6.24
2023-12-13,1982.3,2024.8,1975.0,1978.5,2252,2014.85,2007.17,1965.82,7.12,-8.13,46.48,-7275.0,25.48,1.87
2023-12-14,2030.2,2040.1,2024.3,2024.7,236,2014.06,2010.67,1970.06,8.77,-5.18,57.78,-7039.0,27.78,13.55
2023-12-15,2021.1,2043.4,2018.3,2032.6,261,2009.07,2012.53,1974.15,9.24,-3.77,55.39,-7300.0,27.59,23.32
2023-12-18,2026.3,2032.8,2024.0,2024.3,100,2009.29,2014.77,1978.07,9.92,-2.48,56.5,-7200.0,26.46,32.77
2023-12-19,2038.4,2042.7,2025.2,2025.2,498,2011.28,2017.8,1981.85,11.3,-0.88,59.05,-6702.0,25.82,34.54
2023-12-20,2034.5,2037.1,2030.3,2037.1,258,2011.68,2019.56,1985.32,11.94,-0.19,57.87,-6960.0,24.55,37.41
2023-12-21,2039.1,2044.5,2033.0,2035.8,228,2012.6,2021.95,1988.64,12.68,0.44,58.91,-6732.0,23.62,40.16
2023-12-22,2057.1,2068.7,2052.2,2055.7,202,2018.48,2024.69,1992.4,14.54,1.84,62.79,-6530.0,24.05,55.75
2023-12-26,2058.2,2060.8,2054.2,2060.0,64,2026.5,2027.01,1995.01,15.93,2.58,63.02,-6466.0,22.8,72.57
2023-12-27,2081.9,2081.9,2064.8,2067.3,586,2036.91,2029.12,1998.23,18.72,4.3,67.65,-5880.0,22.86,92.14
2023-12-28,2073.9,2087.3,2066.5,2081.6,338,2046.07,2030.46,2001.25,20.06,4.51,64.7,-6218.0,22.72,92.29
2023-12-29,2062.4,2068.9,2062.1,2068.0,47,2049.29,2031.67,2003.4,19.96,3.53,60.62,-6265.0,21.94,88.63
2024-01-02,2064.4,2073.7,2057.1,2063.5,61,2053.62,2031.34,2005.32,19.82,2.71,61.08,-6204.0,21.56,81.83
2024-01-03,2034.2,2044.0,2034.2,2034.2,54,2054.41,2031.85,2006.35,17.07,-0.03,51.32,-6258.0,22.17,70.05
2024-01-04,2042.3,2044.5,2038.0,2041.6,88,2054.8,2033.04,2007.67,15.37,-1.39,53.47,-6170.0,21.33,55.7
2024-01-05,2042.4,2048.1,2042.4,2044.5,12,2055.59,2033.63,2009.02,13.87,-2.31,53.5,-6158.0,20.22,40.81
2024-01-08,2026.6,2033.7,2019.1,2019.1,10,2054.34,2033.47,2009.87,11.27,-3.92,48.65,-6168.0,20.44,26.9
2024-01-09,2026.4,2035.8,2026.4,2035.8,27,2051.27,2034.87,2010.65,9.1,-4.88,48.59,-6195.0,19.65,18.88
